,,,,,Date,AZUKI,BAYC,Cryptopunks,Doodles,ETH,MAYC
,,,,,May-22,0.00%,0.00%,,0.00%,,0.00%
,,,,,May-22,-10.26%,7.39%,0.00%,2.09%,0.00%,5.27%
,,,,,May-22,-19.55%,9.36%,-1.89%,2.55%,-1.11%,7.95%
,,,,,May-22,-23.25%,7.96%,-5.67%,-1.54%,-17.04%,5.81%
,,,,,May-22,-24.75%,11.00%,-7.74%,-6.91%,-12.05%,7.39%
,,,,,May-22,-20.93%,8.62%,-7.74%,-12.13%,-14.49%,8.06%
,,,,,May-22,-13.06%,14.96%,1.61%,-16.31%,-12.74%,7.98%
,,,,,May-22,-6.82%,17.47%,1.79%,-18.19%,-14.23%,10.76%
,,,,,May-22,-5.52%,17.36%,-2.72%,-15.02%,-12.76%,10.60%
,,,,,May-22,-6.54%,22.99%,-1.79%,-16.56%,-14.69%,9.50%
,,,,,May-22,-9.13%,17.54%,-1.98%,-19.96%,-16.02%,8.56%
,,,,,May-22,-10.02%,14.78%,-3.78%,-21.38%,-15.16%,6.79%
,,,,,May-22,-13.65%,13.51%,-3.87%,-25.73%,-17.09%,6.98%
,,,,,May-22,-16.37%,8.48%,-4.06%,-26.98%,-15.41%,5.96%
,,,,,May-22,-16.42%,5.04%,-7.55%,-26.37%,-13.67%,3.35%
,,,,,May-22,-14.96%,4.83%,-10.10%,-26.16%,-16.96%,3.80%
,,,,,May-22,-15.01%,6.53%,-13.71%,-26.05%,-17.11%,2.43%
,,,,,May-22,-16.77%,6.72%,-13.14%,-25.40%,-20.98%,1.01%
,,,,,May-22,-21.05%,7.17%,-12.18%,-24.20%,-25.56%,-0.58%
,,,,,May-22,-28.30%,7.91%,-13.22%,-25.14%,-25.21%,-4.36%
,,,,,May-22,-31.01%,5.19%,-13.33%,-26.34%,-24.40%,-8.25%
,,,,,May-22,-30.42%,1.47%,-10.01%,-28.29%,-19.51%,-10.14%
,,,,,May-22,-23.28%,0.29%,-9.93%,-29.69%,-17.28%,-9.98%
,,,,,Jun-22,-20.15%,0.08%,-7.57%,-29.52%,-18.80%,-8.56%
,,,,,Jun-22,-17.93%,2.38%,-7.65%,-28.59%,-23.35%,-3.82%
,,,,,Jun-22,-18.92%,7.78%,-7.65%,-28.41%,-24.50%,-2.20%
,,,,,Jun-22,-25.70%,9.80%,-7.65%,-29.57%,-25.46%,-0.73%
,,,,,Jun-22,-25.81%,9.02%,-9.44%,-27.83%,-24.42%,1.13%
,,,,,Jun-22,-28.08%,13.18%,-9.44%,-27.13%,-20.81%,-0.08%
